Block_ID,File_Name,Num_Points,Size_MB,X_min,X_max,Y_min,Y_max
1,Campus_BlockA_1.ply,223012,6.71,64.055,85.055,40.585,61.585
2,Campus_BlockA_2.ply,21591616,646.45,64.055,85.055,60.585,81.585
3,Campus_BlockA_3.ply,2018415,60.53,64.055,85.055,80.585,101.585
4,Campus_BlockA_4.ply,291768,9.11,64.055,85.055,100.585,121.585
5,Campus_BlockA_5.ply,7940385,247.66,64.055,85.055,120.585,141.585
6,Campus_BlockA_6.ply,198611,6.07,64.055,85.055,140.585,161.585
7,Campus_BlockA_7.ply,92580,2.86,84.055,105.055,0.585,21.585
8,Campus_BlockA_8.ply,2524909,77.45,84.055,105.055,20.585,41.585
9,Campus_BlockA_9.ply,10962880,333.68,84.055,105.055,40.585,61.585
10,Campus_BlockA_10.ply,22855192,715.78,84.055,105.055,60.585,81.585
11,Campus_BlockA_11.ply,12191717,384.77,84.055,105.055,80.585,101.585
12,Campus_BlockA_12.ply,18090330,583.84,84.055,105.055,100.585,121.585
13,Campus_BlockA_13.ply,26648781,856.94,84.055,105.055,120.585,141.585
14,Campus_BlockA_14.ply,6051409,195.99,84.055,105.055,140.585,161.585
15,Campus_BlockA_15.ply,2033413,67.16,104.055,125.055,-39.415,-18.415
16,Campus_BlockA_16.ply,11280649,365.94,104.055,125.055,-19.415,1.585
17,Campus_BlockA_17.ply,15401950,489.33,104.055,125.055,0.585,21.585
18,Campus_BlockA_18.ply,28042920,900.39,104.055,125.055,20.585,41.585
19,Campus_BlockA_19.ply,15255419,488.6,104.055,125.055,40.585,61.585
20,Campus_BlockA_20.ply,3894375,123.57,104.055,125.055,60.585,81.585
21,Campus_BlockA_21.ply,6350713,203.17,104.055,125.055,80.585,101.585
22,Campus_BlockA_22.ply,2727214,89.28,104.055,125.055,100.585,121.585
23,Campus_BlockA_23.ply,11192472,368.14,104.055,125.055,120.585,141.585
24,Campus_BlockA_24.ply,22763699,751.82,104.055,125.055,140.585,161.585
25,Campus_BlockA_25.ply,2992956,98.58,124.055,145.055,-39.415,-18.415
26,Campus_BlockA_26.ply,37892098,1231.76,124.055,145.055,-19.415,1.585
27,Campus_BlockA_27.ply,9704658,304.75,124.055,145.055,0.585,21.585
28,Campus_BlockA_28.ply,12376159,396.54,124.055,145.055,20.585,41.585
29,Campus_BlockA_29.ply,13071301,418.04,124.055,145.055,40.585,61.585
30,Campus_BlockA_30.ply,129472,4.16,124.055,145.055,60.585,81.585
31,Campus_BlockA_31.ply,3175213,101.31,124.055,145.055,80.585,101.585
32,Campus_BlockA_32.ply,11733439,385.31,124.055,145.055,100.585,121.585
33,Campus_BlockA_33.ply,14764587,487.29,124.055,145.055,120.585,141.585
34,Campus_BlockA_34.ply,27055836,893.38,124.055,145.055,140.585,161.585
35,Campus_BlockA_35.ply,84843,2.74,124.055,145.055,160.585,181.585
36,Campus_BlockA_36.ply,20090,0.66,144.055,165.055,-39.415,-18.415
37,Campus_BlockA_37.ply,107519,3.42,144.055,165.055,-19.415,1.585
38,Campus_BlockA_38.ply,30589,0.94,144.055,165.055,0.585,21.585
39,Campus_BlockA_39.ply,3613027,115.12,144.055,165.055,20.585,41.585
40,Campus_BlockA_40.ply,31824975,1019.95,144.055,165.055,40.585,61.585
41,Campus_BlockA_41.ply,23270507,745.0,144.055,165.055,60.585,81.585
42,Campus_BlockA_42.ply,24644271,790.01,144.055,165.055,80.585,101.585
43,Campus_BlockA_43.ply,18105458,597.91,144.055,165.055,100.585,121.585
44,Campus_BlockA_44.ply,6198941,204.81,144.055,165.055,120.585,141.585
45,Campus_BlockA_45.ply,219492,7.23,144.055,165.055,140.585,161.585
46,Campus_BlockA_46.ply,6756,0.22,144.055,165.055,160.585,181.585
47,Campus_BlockA_47.ply,139221,4.37,164.055,185.055,20.585,41.585
48,Campus_BlockA_48.ply,3431691,109.79,164.055,185.055,40.585,61.585
49,Campus_BlockA_49.ply,108787,3.51,164.055,185.055,60.585,81.585
50,Campus_BlockA_50.ply,8955,0.28,164.055,185.055,80.585,101.585
