Block_ID,File_Name,Num_Points,Size_MB,X_min,X_max,Y_min,Y_max
1,Campus_BlockBa_1.ply,1425,0.04,-48.874,-27.874,-60.386,-39.386
2,Campus_BlockBa_2.ply,5038967,158.72,-48.874,-27.874,-40.386,-19.386
3,Campus_BlockBa_3.ply,8848611,278.02,-48.874,-27.874,-20.386,0.614
4,Campus_BlockBa_4.ply,55910,1.72,-28.874,-7.874,-80.386,-59.386
5,Campus_BlockBa_5.ply,10111771,315.25,-28.874,-7.874,-60.386,-39.386
6,Campus_BlockBa_6.ply,37557052,1177.26,-28.874,-7.874,-40.386,-19.386
7,Campus_BlockBa_7.ply,25900829,811.33,-28.874,-7.874,-20.386,0.614
8,Campus_BlockBa_8.ply,1060550,31.72,-28.874,-7.874,-0.386,20.614
9,Campus_BlockBa_9.ply,132359,4.02,-8.874,12.126,-100.386,-79.386
10,Campus_BlockBa_10.ply,18001184,553.52,-8.874,12.126,-80.386,-59.386
11,Campus_BlockBa_11.ply,39079511,1210.45,-8.874,12.126,-60.386,-39.386
12,Campus_BlockBa_12.ply,25767741,805.44,-8.874,12.126,-40.386,-19.386
13,Campus_BlockBa_13.ply,28578833,885.34,-8.874,12.126,-20.386,0.614
14,Campus_BlockBa_14.ply,12705432,377.89,-8.874,12.126,-0.386,20.614
15,Campus_BlockBa_15.ply,332341,10.55,11.126,32.126,-100.386,-79.386
16,Campus_BlockBa_16.ply,17345946,543.34,11.126,32.126,-80.386,-59.386
17,Campus_BlockBa_17.ply,27386394,862.84,11.126,32.126,-60.386,-39.386
18,Campus_BlockBa_18.ply,22861717,729.4,11.126,32.126,-40.386,-19.386
19,Campus_BlockBa_19.ply,17980540,569.13,11.126,32.126,-20.386,0.614
20,Campus_BlockBa_20.ply,1434510,42.7,11.126,32.126,-0.386,20.614
21,Campus_BlockBa_21.ply,49006,1.56,31.126,52.126,-100.386,-79.386
22,Campus_BlockBa_22.ply,1462561,46.16,31.126,52.126,-80.386,-59.386
23,Campus_BlockBa_23.ply,28044867,889.88,31.126,52.126,-60.386,-39.386
24,Campus_BlockBa_24.ply,19079963,601.39,31.126,52.126,-40.386,-19.386
25,Campus_BlockBa_25.ply,698,0.02,51.126,72.126,-100.386,-79.386
26,Campus_BlockBa_26.ply,430952,13.67,51.126,72.126,-80.386,-59.386
27,Campus_BlockBa_27.ply,321486,10.08,51.126,72.126,-60.386,-39.386
