Block_ID,File_Name,Num_Points,Size_MB,X_min,X_max,Y_min,Y_max
1,Campus_BlockBb_1.ply,594724,18.61,-2.133,18.867,-36.764,-15.764
2,Campus_BlockBb_2.ply,20640971,614.59,-2.133,18.867,-16.764,4.236
3,Campus_BlockBb_3.ply,4871386,138.05,-2.133,18.867,3.236,24.236
4,Campus_BlockBb_4.ply,6570041,202.26,17.867,38.867,-56.764,-35.764
5,Campus_BlockBb_5.ply,36509823,1122.42,17.867,38.867,-36.764,-15.764
6,Campus_BlockBb_6.ply,7938359,240.4,17.867,38.867,-16.764,4.236
7,Campus_BlockBb_7.ply,1038808,30.8,17.867,38.867,3.236,24.236
8,Campus_BlockBb_8.ply,2599494,77.39,17.867,38.867,23.236,44.236
9,Campus_BlockBb_9.ply,1180265,36.09,37.867,58.867,-76.764,-55.764
10,Campus_BlockBb_10.ply,44668802,1416.3,37.867,58.867,-56.764,-35.764
11,Campus_BlockBb_11.ply,31841185,1007.72,37.867,58.867,-36.764,-15.764
12,Campus_BlockBb_12.ply,4142614,124.87,37.867,58.867,-16.764,4.236
13,Campus_BlockBb_13.ply,31916486,979.97,37.867,58.867,3.236,24.236
14,Campus_BlockBb_14.ply,30491164,941.16,37.867,58.867,23.236,44.236
15,Campus_BlockBb_15.ply,8695431,277.07,57.867,78.867,-76.764,-55.764
16,Campus_BlockBb_16.ply,28865468,918.13,57.867,78.867,-56.764,-35.764
17,Campus_BlockBb_17.ply,48159305,1541.45,57.867,78.867,-36.764,-15.764
18,Campus_BlockBb_18.ply,35004114,1092.9,57.867,78.867,-16.764,4.236
19,Campus_BlockBb_19.ply,29052765,889.32,57.867,78.867,3.236,24.236
20,Campus_BlockBb_20.ply,11704959,361.81,57.867,78.867,23.236,44.236
21,Campus_BlockBb_21.ply,68456,2.17,77.867,98.867,-76.764,-55.764
22,Campus_BlockBb_22.ply,21501651,686.05,77.867,98.867,-56.764,-35.764
23,Campus_BlockBb_23.ply,23153573,740.72,77.867,98.867,-36.764,-15.764
24,Campus_BlockBb_24.ply,25501544,803.62,77.867,98.867,-16.764,4.236
25,Campus_BlockBb_25.ply,4547945,138.03,77.867,98.867,3.236,24.236
26,Campus_BlockBb_26.ply,1707505,55.18,97.867,118.867,-56.764,-35.764
27,Campus_BlockBb_27.ply,17279634,568.69,97.867,118.867,-36.764,-15.764
28,Campus_BlockBb_28.ply,3012641,97.2,97.867,118.867,-16.764,4.236
29,Campus_BlockBb_29.ply,43836,1.45,117.867,138.867,-56.764,-35.764
30,Campus_BlockBb_30.ply,39712,1.31,117.867,138.867,-36.764,-15.764
