Block_ID,File_Name,Num_Points,Size_MB,X_min,X_max,Y_min,Y_max
1,Campus_BlockCa_1.ply,45385,1.39,-108.445,-87.445,23.299,44.299
2,Campus_BlockCa_2.ply,690733,21.24,-108.445,-87.445,43.299,64.299
3,Campus_BlockCa_3.ply,428609,13.12,-108.445,-87.445,63.299,84.299
4,Campus_BlockCa_4.ply,10780,0.33,-108.445,-87.445,83.299,104.299
5,Campus_BlockCa_5.ply,1644025,50.21,-88.445,-67.445,3.299,24.299
6,Campus_BlockCa_6.ply,7502677,229.27,-88.445,-67.445,23.299,44.299
7,Campus_BlockCa_7.ply,496738,15.26,-88.445,-67.445,43.299,64.299
8,Campus_BlockCa_8.ply,2636158,80.79,-88.445,-67.445,63.299,84.299
9,Campus_BlockCa_9.ply,853169,26.05,-88.445,-67.445,83.299,104.299
10,Campus_BlockCa_10.ply,273,0.01,-88.445,-67.445,103.299,124.299
11,Campus_BlockCa_11.ply,17521,0.58,-68.445,-47.445,-36.701,-15.701
12,Campus_BlockCa_12.ply,6132695,189.55,-68.445,-47.445,-16.701,4.299
13,Campus_BlockCa_13.ply,36540615,1137.73,-68.445,-47.445,3.299,24.299
14,Campus_BlockCa_14.ply,27816640,875.9,-68.445,-47.445,23.299,44.299
15,Campus_BlockCa_15.ply,1340352,42.91,-68.445,-47.445,43.299,64.299
16,Campus_BlockCa_16.ply,11476709,366.09,-68.445,-47.445,63.299,84.299
17,Campus_BlockCa_17.ply,14725535,465.77,-68.445,-47.445,83.299,104.299
18,Campus_BlockCa_18.ply,433,0.01,-68.445,-47.445,103.299,124.299
19,Campus_BlockCa_19.ply,8777582,284.51,-48.445,-27.445,-36.701,-15.701
20,Campus_BlockCa_20.ply,35199148,1108.69,-48.445,-27.445,-16.701,4.299
21,Campus_BlockCa_21.ply,20559613,638.29,-48.445,-27.445,3.299,24.299
22,Campus_BlockCa_22.ply,14748575,469.37,-48.445,-27.445,23.299,44.299
23,Campus_BlockCa_23.ply,29107322,930.26,-48.445,-27.445,43.299,64.299
24,Campus_BlockCa_24.ply,11281848,358.54,-48.445,-27.445,63.299,84.299
25,Campus_BlockCa_25.ply,17846470,580.19,-28.445,-7.445,-36.701,-15.701
26,Campus_BlockCa_26.ply,22884247,731.08,-28.445,-7.445,-16.701,4.299
27,Campus_BlockCa_27.ply,11344573,359.99,-28.445,-7.445,3.299,24.299
28,Campus_BlockCa_28.ply,9277288,295.52,-28.445,-7.445,23.299,44.299
29,Campus_BlockCa_29.ply,3520542,110.49,-28.445,-7.445,43.299,64.299
30,Campus_BlockCa_30.ply,344130,11.06,-8.445,12.555,-36.701,-15.701
31,Campus_BlockCa_31.ply,25563092,779.57,-8.445,12.555,-16.701,4.299
32,Campus_BlockCa_32.ply,11998084,361.01,-8.445,12.555,3.299,24.299
33,Campus_BlockCa_33.ply,455988,14.0,-8.445,12.555,23.299,44.299
34,Campus_BlockCa_34.ply,3831230,116.91,11.555,32.555,-16.701,4.299
35,Campus_BlockCa_35.ply,67355,2.02,11.555,32.555,3.299,24.299
