Block_ID,File_Name,Num_Points,Size_MB,X_min,X_max,Y_min,Y_max
1,Campus_BlockCb_1.ply,14404470,443.34,-75.284,-54.284,72.223,93.223
2,Campus_BlockCb_2.ply,3068239,93.77,-75.284,-54.284,92.223,113.223
3,Campus_BlockCb_3.ply,1151200,35.79,-55.284,-34.284,32.223,53.223
4,Campus_BlockCb_4.ply,20733788,641.26,-55.284,-34.284,52.223,73.223
5,Campus_BlockCb_5.ply,16148858,495.22,-55.284,-34.284,72.223,93.223
6,Campus_BlockCb_6.ply,15218058,476.31,-55.284,-34.284,92.223,113.223
7,Campus_BlockCb_7.ply,107105,3.42,-55.284,-34.284,112.223,133.223
8,Campus_BlockCb_8.ply,1226919,38.45,-35.284,-14.284,12.223,33.223
9,Campus_BlockCb_9.ply,12113799,372.44,-35.284,-14.284,32.223,53.223
10,Campus_BlockCb_10.ply,30802923,977.35,-35.284,-14.284,52.223,73.223
11,Campus_BlockCb_11.ply,1387355,43.76,-35.284,-14.284,72.223,93.223
12,Campus_BlockCb_12.ply,12443903,407.27,-35.284,-14.284,92.223,113.223
13,Campus_BlockCb_13.ply,19971690,657.67,-35.284,-14.284,112.223,133.223
14,Campus_BlockCb_14.ply,6602317,195.87,-15.284,5.716,-7.777,13.223
15,Campus_BlockCb_15.ply,7345752,227.75,-15.284,5.716,12.223,33.223
16,Campus_BlockCb_16.ply,1023046,32.2,-15.284,5.716,32.223,53.223
17,Campus_BlockCb_17.ply,14935297,458.43,-15.284,5.716,52.223,73.223
18,Campus_BlockCb_18.ply,30881623,950.43,-15.284,5.716,72.223,93.223
19,Campus_BlockCb_19.ply,1577019,48.18,-15.284,5.716,92.223,113.223
20,Campus_BlockCb_20.ply,19684141,637.05,-15.284,5.716,112.223,133.223
21,Campus_BlockCb_21.ply,6476124,209.35,-15.284,5.716,132.223,153.223
22,Campus_BlockCb_22.ply,13305113,401.82,4.716,25.716,-7.777,13.223
23,Campus_BlockCb_23.ply,227620,6.9,4.716,25.716,12.223,33.223
24,Campus_BlockCb_24.ply,15382892,471.14,4.716,25.716,32.223,53.223
25,Campus_BlockCb_25.ply,51540290,1577.13,4.716,25.716,52.223,73.223
26,Campus_BlockCb_26.ply,20793934,637.31,4.716,25.716,72.223,93.223
27,Campus_BlockCb_27.ply,12518294,388.08,4.716,25.716,92.223,113.223
28,Campus_BlockCb_28.ply,82046,2.58,4.716,25.716,112.223,133.223
29,Campus_BlockCb_29.ply,6603,0.2,24.716,45.716,-7.777,13.223
30,Campus_BlockCb_30.ply,20155923,622.94,24.716,45.716,12.223,33.223
31,Campus_BlockCb_31.ply,73061780,2243.54,24.716,45.716,32.223,53.223
32,Campus_BlockCb_32.ply,25904222,797.47,24.716,45.716,52.223,73.223
33,Campus_BlockCb_33.ply,1236843,38.39,24.716,45.716,72.223,93.223
34,Campus_BlockCb_34.ply,347408,10.76,24.716,45.716,92.223,113.223
35,Campus_BlockCb_35.ply,21374407,660.35,44.716,65.716,12.223,33.223
36,Campus_BlockCb_36.ply,23285680,713.32,44.716,65.716,32.223,53.223
37,Campus_BlockCb_37.ply,7043141,217.02,44.716,65.716,52.223,73.223
38,Campus_BlockCb_38.ply,434748,13.54,64.716,85.716,12.223,33.223
39,Campus_BlockCb_39.ply,207574,6.41,64.716,85.716,32.223,53.223
