Filename,Process,Time (s),File Size (KB),Number of Points,Percentage Reduction
FullCampusPart1.ply,Load,672.532624953,14908547.928710938,372641820,N/A
FullCampusPart1.ply,Filter,363.8153577259999,N/A,352791048,5.327038173010212
FullCampusPart1.ply,Save Inlier,278.2896647,8268540.3359375,352791048,N/A
IIITB_InlierCloud_Part1.ply,Load,256.721328311,8268540.3359375,352791048,N/A
IIITB_InlierCloud_Part1.ply,Downsample,333.50679278100006,N/A,253717183,28.082873860223344
IIITB_InlierCloud_Part1.ply,Save Voxel,201.64067489300032,5946496.625,253717183,N/A
FullCampusPart2.ply,Load,850.617825716,20031665.47265625,500590562,N/A
FullCampusPart2.ply,Filter,504.75489647300003,N/A,471560069,5.799248967862081
FullCampusPart2.ply,Save Inlier,336.97274721099984,11052189.265625,471560069,N/A
IIITB_InlierCloud_Part2.ply,Load,344.0295368799998,11052189.265625,471560069,N/A
IIITB_InlierCloud_Part2.ply,Load,327.86932540100133,11052189.265625,471560069,N/A
FullCampusPart5.ply,Load,657.1260158530004,15097400.02734375,378121792,N/A
FullCampusPart5.ply,Filter,351.74064788299984,N/A,357153151,5.5454727666159
FullCampusPart5.ply,Save Inlier,245.35640576900005,8370777.125,357153151,N/A
FullCampusPart3.ply,Load,795.711658582999,17292745.806640625,435638819,N/A
FullCampusPart3.ply,Filter,464.4645329299983,N/A,413667986,5.043359783784562
FullCampusPart3.ply,Save Inlier,279.3648275659998,9695343.5703125,413667986,N/A
FullCampusPart4.ply,Load,704.6534598880007,16797000.333984375,420695358,N/A
FullCampusPart4.ply,Filter,461.2599232470002,N/A,396771902,5.686646059926337
FullCampusPart4.ply,Save Inlier,268.3390775070002,9299341.6015625,396771902,N/A
FullCampusPart5.ply,Load,629.9450901889995,15097400.02734375,378121792,N/A
FullCampusPart5.ply,Filter,353.94104601500294,N/A,357153151,5.5454727666159
FullCampusPart5.ply,Save Inlier,242.68831019299978,8370777.125,357153151,N/A
FullCampusPart6.ply,Load,685.739999079,16283538.002929688,405695668,N/A
FullCampusPart6.ply,Filter,407.2067300259987,N/A,384625036,5.193703966294261
FullCampusPart6.ply,Save Inlier,262.4941596050012,9014649.4296875,384625036,N/A
FullCampusPart7.ply,Load,582.1797834229983,13846998.645507812,338287992,N/A
FullCampusPart7.ply,Filter,336.6311206879982,N/A,324395333,4.106754992355743
FullCampusPart7.ply,Save Inlier,220.88619446499797,7603015.765625,324395333,N/A
IIITB_InlierCloud_Part2.ply,Load,423.9496805339986,11052189.265625,471560069,N/A
IIITB_InlierCloud_Part3.ply,Load,368.1368705569985,9695343.5703125,413667986,N/A
IIITB_InlierCloud_Part3.ply,Downsample,391.6757495100028,N/A,275307319,33.447274549304865
IIITB_InlierCloud_Part3.ply,Save Voxel,192.12650986099834,6452515.4375,275307319,N/A
IIITB_InlierCloud_Part4.ply,Load,336.44345225600046,9299341.6015625,396771902,N/A
IIITB_InlierCloud_Part5.ply,Load,316.0402115649995,8370777.125,357153151,N/A
IIITB_InlierCloud_Part5.ply,Downsample,274.70655216799787,N/A,239179923,33.0315517781894
IIITB_InlierCloud_Part5.ply,Save Voxel,163.76992026899825,5605779.59375,239179923,N/A
IIITB_InlierCloud_Part6.ply,Load,325.9527666119975,9014649.4296875,384625036,N/A
IIITB_InlierCloud_Part7.ply,Load,323.71028504100104,7603015.765625,324395333,N/A
IIITB_InlierCloud_Part7.ply,Downsample,321.4787368699981,N/A,216130224,33.37443482887591
IIITB_InlierCloud_Part7.ply,Save Voxel,151.4447024800029,5065552.2734375,216130224,N/A
IIITB_InlierCloud_Part6.ply,Load,346.1683099889997,9014649.4296875,384625036,N/A
IIITB_InlierCloud_Part6.ply,Downsample,425.2904891590006,N/A,276148316,28.2032394791898
IIITB_InlierCloud_Part6.ply,Save Voxel,184.4197752409964,6472226.3046875,276148316,N/A
IIITB_InlierCloud_Part4.ply,Load,378.51178224400064,9299341.6015625,396771902,N/A
FullCampusPart2_A.ply,Load,404.10066121199634,9667687.93359375,242188897,N/A
FullCampusPart2_A.ply,Filter,228.1475301850005,N/A,227764361,5.955903089975257
FullCampusPart2_A.ply,Save Inlier,180.83432960800565,5338227.359375,227764361,N/A
FullCampusPart2_B.ply,Load,428.06699346799724,12498034.923828125,311269936,N/A
FullCampusPart2_B.ply,Filter,282.26922853399446,N/A,293651921,5.660043891935651
FullCampusPart2_B.ply,Save Inlier,195.8287655289896,6882467.046875,293651921,N/A
IIITB_InlierCloud_Part4.ply,Load,267.9411630280083,9299341.6015625,396771902,N/A
IIITB_InlierCloud_Part4.ply,Downsample,458.8635235420079,N/A,281546568,29.04069905635607
IIITB_InlierCloud_Part4.ply,Save Voxel,187.2486978819943,6598747.8359375,281546568,N/A
IIITB_InlierCloud_Part2_A.ply,Load,155.7171891429898,5338227.359375,227764361,N/A
IIITB_InlierCloud_Part2_A.ply,Downsample,164.96339900800376,N/A,177335147,22.140959094122714
IIITB_InlierCloud_Part2_A.ply,Save Voxel,123.18637854899862,4156292.65625,177335147,N/A
IIITB_InlierCloud_Part2_B.ply,Load,200.03371611400507,6882467.046875,293651921,N/A
IIITB_InlierCloud_Part2_B.ply,Downsample,241.56767727600527,N/A,214911973,26.81404151277458
IIITB_InlierCloud_Part2_B.ply,Save Voxel,141.9532885689987,5036999.515625,214911973,N/A
