Block_ID,File_Name,Num_Points,Size_MB,X_min,X_max,Y_min,Y_max
1,Campus_BlockBc_1.ply,10505105,315.05,48.563,69.563,11.242,32.242
2,Campus_BlockBc_2.ply,20097073,599.55,48.563,69.563,31.242,52.242
3,Campus_BlockBc_3.ply,9,0.0,48.563,69.563,51.242,72.242
4,Campus_BlockBc_4.ply,343474,10.38,68.563,89.563,-28.758,-7.758
5,Campus_BlockBc_5.ply,11772839,347.88,68.563,89.563,-8.758,12.242
6,Campus_BlockBc_6.ply,29556215,891.09,68.563,89.563,11.242,32.242
7,Campus_BlockBc_7.ply,13966319,417.92,68.563,89.563,31.242,52.242
8,Campus_BlockBc_8.ply,510021,15.25,68.563,89.563,51.242,72.242
9,Campus_BlockBc_9.ply,1664348,53.44,88.563,109.563,-48.758,-27.758
10,Campus_BlockBc_10.ply,18863172,612.01,88.563,109.563,-28.758,-7.758
11,Campus_BlockBc_11.ply,25173594,781.81,88.563,109.563,-8.758,12.242
12,Campus_BlockBc_12.ply,10267317,321.65,88.563,109.563,11.242,32.242
13,Campus_BlockBc_13.ply,10229413,325.55,88.563,109.563,31.242,52.242
14,Campus_BlockBc_14.ply,8614661,268.97,88.563,109.563,51.242,72.242
15,Campus_BlockBc_15.ply,2982741,98.24,108.563,129.563,-48.758,-27.758
16,Campus_BlockBc_16.ply,38742540,1278.84,108.563,129.563,-28.758,-7.758
17,Campus_BlockBc_17.ply,20511509,649.15,108.563,129.563,-8.758,12.242
18,Campus_BlockBc_18.ply,23231604,748.98,108.563,129.563,11.242,32.242
19,Campus_BlockBc_19.ply,3901629,126.07,108.563,129.563,31.242,52.242
20,Campus_BlockBc_20.ply,117533,3.89,128.563,149.563,-48.758,-27.758
21,Campus_BlockBc_21.ply,16546290,542.19,128.563,149.563,-28.758,-7.758
22,Campus_BlockBc_22.ply,15736364,501.84,128.563,149.563,-8.758,12.242
23,Campus_BlockBc_23.ply,4889,0.15,128.563,149.563,11.242,32.242
24,Campus_BlockBc_24.ply,1389,0.05,148.563,169.563,-28.758,-7.758
