Block_ID,File_Name,Num_Points,Size_MB,X_min,X_max,Y_min,Y_max
1,Campus_BlockCc_1.ply,9563,0.29,-11.297,9.703,84.841,105.841
2,Campus_BlockCc_2.ply,1639945,50.61,-11.297,9.703,104.841,125.841
3,Campus_BlockCc_3.ply,29599771,909.6,-11.297,9.703,124.841,145.841
4,Campus_BlockCc_4.ply,2423187,73.78,-11.297,9.703,144.841,165.841
5,Campus_BlockCc_5.ply,693121,20.93,8.703,29.703,64.841,85.841
6,Campus_BlockCc_6.ply,20184866,610.96,8.703,29.703,84.841,105.841
7,Campus_BlockCc_7.ply,17097584,527.36,8.703,29.703,104.841,125.841
8,Campus_BlockCc_8.ply,34127787,1061.11,8.703,29.703,124.841,145.841
9,Campus_BlockCc_9.ply,5325996,165.38,8.703,29.703,144.841,165.841
10,Campus_BlockCc_10.ply,693618,21.3,28.703,49.703,24.841,45.841
11,Campus_BlockCc_11.ply,24640353,758.32,28.703,49.703,44.841,65.841
12,Campus_BlockCc_12.ply,14788146,454.65,28.703,49.703,64.841,85.841
13,Campus_BlockCc_13.ply,15582023,487.05,28.703,49.703,84.841,105.841
14,Campus_BlockCc_14.ply,31550732,1006.25,28.703,49.703,104.841,125.841
15,Campus_BlockCc_15.ply,1458629,46.71,28.703,49.703,124.841,145.841
16,Campus_BlockCc_16.ply,24710376,759.9,48.703,69.703,24.841,45.841
17,Campus_BlockCc_17.ply,44527499,1370.11,48.703,69.703,44.841,65.841
18,Campus_BlockCc_18.ply,30333867,937.55,48.703,69.703,64.841,85.841
19,Campus_BlockCc_19.ply,461701,14.22,48.703,69.703,84.841,105.841
20,Campus_BlockCc_20.ply,7035753,217.19,68.703,89.703,24.841,45.841
21,Campus_BlockCc_21.ply,3960785,122.1,68.703,89.703,44.841,65.841
22,Campus_BlockCc_22.ply,26140666,812.07,68.703,89.703,64.841,85.841
23,Campus_BlockCc_23.ply,131364,4.11,68.703,89.703,84.841,105.841
24,Campus_BlockCc_24.ply,353,0.01,88.703,109.703,24.841,45.841
25,Campus_BlockCc_25.ply,8566319,267.11,88.703,109.703,44.841,65.841
26,Campus_BlockCc_26.ply,4795458,150.31,88.703,109.703,64.841,85.841
