2025-09-24 09:42:41,714 - Starting resource monitoring for process PID: 9014
2025-09-24 09:42:42,715 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:43:03,729 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:43:24,743 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:43:45,766 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:44:06,767 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:44:27,775 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:44:48,792 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:45:09,794 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:45:30,795 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:45:51,800 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:46:12,802 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:46:33,802 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:46:54,804 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:47:15,805 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:47:36,806 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:47:57,807 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:48:18,809 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:48:39,809 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:49:00,812 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
2025-09-24 09:49:21,817 - Memory Usage (RSS): 13.50 MB, CPU Usage: 0.0%, Virtual Memory: 18.00 MB
